Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
1147,,,,,"Journal of Experimental Biology (JEB),Limnology and Oceanography,The Biological Bulletin",https://jeb.biologists.org/content/194/1/263.short,"Attach,Process resources,Maintain ecological community","Attach temporarily,Distribute resources,Expel resources,Individual benefit","Distribute solids,Expel solids,Regulate reproduction or growth","Attach temporarily,Distribute solids,Expel solids,Modify material characteristics,Regulate reproduction or growth",
1148,,,,,"Journal of Experimental Biology (JEB),Limnology and Oceanography,The Biological Bulletin",https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2003.48.2.0795,"Attach,Process resources,Maintain ecological community","Attach temporarily,Distribute resources,Expel resources,Individual benefit","Distribute solids,Expel solids,Regulate reproduction or growth","Attach temporarily,Distribute solids,Expel solids,Modify material characteristics,Regulate reproduction or growth",
1149,,,,,"Journal of Experimental Biology (JEB),Limnology and Oceanography,The Biological Bulletin",https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2006.51.3.1485,"Attach,Process resources,Maintain ecological community","Attach temporarily,Distribute resources,Expel resources,Individual benefit","Distribute solids,Expel solids,Regulate reproduction or growth","Attach temporarily,Distribute solids,Expel solids,Modify material characteristics,Regulate reproduction or growth",
1150,,,,,"Journal of Experimental Biology (JEB),Limnology and Oceanography,The Biological Bulletin",https://www.journals.uchicago.edu/doi/10.2307/1543529,"Attach,Process resources,Maintain ecological community","Attach temporarily,Distribute resources,Expel resources,Individual benefit","Distribute solids,Expel solids,Regulate reproduction or growth","Attach temporarily,Distribute solids,Expel solids,Modify material characteristics,Regulate reproduction or growth",
1151,,,,,"Comparative Biomechanics: Life's Physical World,Fluid Dynamics in Biology,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/193/1/233,"Move,Physically assemble/disassemble","Optimize shape/materials,Physically assemble structure,Passive movement",Passively move through/on liquids,"Adapt behaviors,Move in/on liquids,Optimize shape/materials,Physically assemble structure,""Capture, absorb, or filter solids""",
1152,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/192/1/45,Move,Passive movement,Passively move through/on liquids,Move in/on liquids,
1153,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB),Science",https://jeb.biologists.org/content/163/1/1.short,Move,Active movement,Actively move through/on solids,Move in/on solids,
1154,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB),Science",https://science.sciencemag.org/content/346/6206/224,Move,Active movement,Actively move through/on solids,Move in/on solids,
1155,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/159/1/165,"Change size or color,Move","Change size/shape,Active movement",Actively move through/on liquids,"Modify position,Modify size/shape/mass/volume,Move in/on liquids,""Capture, absorb, or filter organisms""",
1156,,,,,"Journal of Experimental Biology (JEB),Comparative Biomechanics: Life's Physical World",https://jeb.biologists.org/content/152/1/243.short,"""Sense, send, or process information"",Move,Attach","Send signals,Attach temporarily,Passive movement","Send sound signals,Passively move through/on solids","Send sound signals,Move in/on solids,Attach temporarily",
1157,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/152/1/41,"Protect from harm,""Sense, send, or process information""","Protect from living threats,Process signals","Protect from animals,Respond to signals,Sense sound/vibrations","Navigate through air,Protect from animals,Respond to signals,Sense sound and other vibrations from the environment",
1158,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/134/1/313,Move,Active movement,Actively move through/on liquids,Move in/on liquids,
1159,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/113/1/447.abstract,Protect from harm,Protect from non-living threats,Protect from loss of liquids,"Protect from loss of liquids,""Capture, absorb, or filter liquids""",
1160,,,,,"Journal of Experimental Biology (JEB),Comparative Biomechanics: Life's Physical World",https://jeb.biologists.org/content/88/1/1,"Move,Chemically modify or Change energy state","Change energy state,Active movement","Modify/convert mechanical energy,Actively move through/on liquids","Move in/on liquids,Transform mechanical energy,""Capture, absorb, or filter organisms""",
1161,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/69/1/127,"Move,Maintain structural integrity","Passive movement,Manage structural forces","Move through/on liquids,Manage stress/strain","Modify position,""Capture, absorb, or filter organisms""",
1162,,,,,"The Biology of Mangroves and Seagrasses,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/38/3/659,Protect from harm,Protect from non-living threats,Protect from loss of liquids,Maintain homeostasis,
1163,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/31/4/491,Process resources,Absorb and/or filter resources,Absorb and/or filter liquids,"""Capture, absorb, or filter liquids""",
1164,,,,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/21/3-4/97,Protect from harm,Protect from non-living threats,"Protect from excess liquids,Protect from loss of liquids","Modify material characteristics,Protect from excess liquids,Protect from loss of liquids",
1165,,,,,"The Biology of Freshwater Wetlands (Biology of Habitats),Journal of Clinical Microbiology",https://jcm.asm.org/content/37/9/3082.long,Protect from harm,Protect from non-living threats,Protect from excess liquids,Protect from excess liquids,
1166,,,,,"Journal of Bacteriology,Nature Reviews Microbiology",https://jb.asm.org/content/188/1/202,Chemically modify or Change energy state,Chemically break down,"Chemically break down organic compounds,Compete within/between species","Catalyze chemical breakdown,Chemically break down organic compounds,Cooperate/compete between different species,Modify chemical potential",
1167,,,,,"Journal of Bacteriology,Nature Reviews Microbiology",https://www.nature.com/articles/nrmicro2166,Chemically modify or Change energy state,Chemically break down,"Chemically break down organic compounds,Compete within/between species","Catalyze chemical breakdown,Chemically break down organic compounds,Cooperate/compete between different species,Modify chemical potential",
1169,,,,,"Archives of Internal Medicine,Applied and Environmental Microbiology",https://aem.asm.org/content/aem/54/7/1678.full.pdf,"Protect from harm,Maintain ecological community","Protect from non-living threats,Group benefit","Protect from temperature,Protect from ice,Cooperate within/between species","""Capture, absorb, or filter liquids""",
1170,,,,,"Water Science and Technology,Reviews in Environmental Science & Biotechnology",https://iwaponline.com/wst/article/53/11/163/13832/Microbial-conversion-of-selected-azo-dyes-and,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Chemically break down organic compounds,
1171,,,,,"Water Science and Technology,Reviews in Environmental Science & Biotechnology",https://link.springer.com/article/10.1007/s11157-006-9118-8,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Chemically break down organic compounds,
1172,,,,,Bioinspiration & Biomimetics,https://iopscience.iop.org/article/10.1088/1748-3182/6/4/046005,"Attach,Move","Attach temporarily,Passive movement",Passively move through/on solids,"Attach temporarily,Move in/on solids",
1173,,,,,"Bioinspiration & Biomimetics,PLOS One",https://iopscience.iop.org/article/10.1088/1748-3182/6/1/016003,"Maintain structural integrity,Physically assemble/disassemble","Manage structural forces,Optimize shape/materials",Manage impact,"Manage impact,Optimize shape/materials",
1174,,,,,"Bioinspiration & Biomimetics,PLOS One",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026490,"Maintain structural integrity,Physically assemble/disassemble","Manage structural forces,Optimize shape/materials",Manage impact,"Manage impact,Optimize shape/materials",
1175,,,,,"Bioinspiration & Biomimetics,PLOS One",https://iopscience.iop.org/article/10.1088/1748-3182/6/1/016003,Maintain structural integrity,Manage structural forces,Manage impact,Manage impact,
1176,,,,,"Bioinspiration & Biomimetics,PLOS One",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0026490,Maintain structural integrity,Manage structural forces,Manage impact,Manage impact,
1177,,,,,"Bioinspiration & Biomimetics,Comparative Biomechanics: Life's Physical World",https://iopscience.iop.org/article/10.1088/1748-3182/2/4/S01,"Attach,Maintain structural integrity","Attach temporarily,Manage structural forces",Manage shear,"Attach temporarily,Manage shear",
1178,,,,,"Bioinspiration & Biomimetics,Science,Journal of Fluid Mechanics,Journal of Experimental Biology (JEB)",https://iopscience.iop.org/article/10.1088/1748-3182/2/3/L01,Move,Passive movement,Passively move through/on liquids,"Modify position,Move in/on liquids",
1179,,,,,"Bioinspiration & Biomimetics,Science,Journal of Fluid Mechanics,Journal of Experimental Biology (JEB)",https://science.sciencemag.org/content/302/5650/1566,Move,Passive movement,Passively move through/on liquids,"Modify position,Move in/on liquids",
1180,,,,,"Bioinspiration & Biomimetics,Science,Journal of Fluid Mechanics,Journal of Experimental Biology (JEB)",https://iopscience.iop.org/article/10.1088/1748-3182/5/3/035005,Move,Passive movement,Passively move through/on liquids,"Modify position,Move in/on liquids",
1181,,,,,"Bioinspiration & Biomimetics,Science,Journal of Fluid Mechanics,Journal of Experimental Biology (JEB)",https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/passive-propulsion-in-vortex-wakes/A431EC18AAEDA78CC6572FB62A249005,Move,Passive movement,Passively move through/on liquids,"Modify position,Move in/on liquids",
1182,,,,,"Bioinspiration & Biomimetics,Science,Journal of Fluid Mechanics,Journal of Experimental Biology (JEB)",https://jeb.biologists.org/content/206/6/1059,Move,Passive movement,Passively move through/on liquids,"Modify position,Move in/on liquids",
1183,,,,,American Journal of Nanotechnology,https://iopscience.iop.org/article/10.1088/0957-4484/13/5/201,Process resources,Distribute resources,Distribute gases,Distribute gases,
1184,,,,,"Journal of Physics: Condensed Matter,Langmuir",https://iopscience.iop.org/article/10.1088/0953-8984/17/9/021,Protect from harm,Protect from non-living threats,Protect from excess liquids,Protect from excess liquids,https://naturesraincoats.com/
