,index,DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
818,818,,,,"The Private Life of Plants,American Journal of Botany",https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.94.7.1061,,,"""Capture, absorb, or filter energy""","""Capture, absorb, or filter energy""",
819,819,,,,"American Journal of Botany,Functional Ecology,Journal of Experimental Botany,New Phytologist","https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.93.9.1251
https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2435.2010.01698.x
https://academic.oup.com/jxb/article/64/15/4793/464484
https://www.jstor.org/stable/2399893?origin=crossref&seq=1
https://nph.onlinelibrary.wiley.com/doi/full/10.1111/j.1469-8137.2005.01618.x",,,"Manage stress/strain,Prevent buckling","Manage compression,Prevent buckling",
820,820,,,,"American Journal of Botany,The Private Life of Plants,Philosophical Transactions of the Royal Society A,""Plant, Cell & Environment""","https://bsapubs.onlinelibrary.wiley.com/doi/full/10.2307/3558444
https://royalsocietypublishing.org/doi/10.1098/rsta.2009.0022
https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3040.2004.01223.x",,,"Distribute liquids,Move through/on solids,Store liquids,""Capture, absorb, or filter liquids"",""Capture, absorb, or filter chemical entities""","Distribute liquids,Move in/on solids,Store liquids,""Capture, absorb, or filter liquids"",""Capture, absorb, or filter chemical entities""",
821,821,,,,American Journal of Botany,https://bsapubs.onlinelibrary.wiley.com/doi/full/10.2307/2656954,,,"""Capture, absorb, or filter organisms"",Send chemical signals","""Capture, absorb, or filter organisms"",""Send chemical signals (odor, taste, etc.)""",
822,822,,,,"Comparative Biomechanics: Life's Physical World,American Journal of Botany",https://bsapubs.onlinelibrary.wiley.com/doi/full/10.2307/2656682,,,Protect from wind,Protect from wind,
823,823,,,,"American Journal of Botany,Yearbook of the Carnegie Institute of Washington,Annual Review of Ecology and Systematics","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1984.tb12506.x
https://publications.csiro.au/rpr/pub?list=BRO&pid=procite:b4334091-4919-4457-bab9-325e36c6c7e7
https://www.annualreviews.org/doi/10.1146/annurev.es.11.110180.001443",,,,Adapt phenotype,
824,824,,,,"Behaviour,Fishery Bulletin","https://brill.com/view/journals/beh/148/5-6/article-p575_2.xml
https://spo.nmfs.noaa.gov/sites/default/files/pdf-content/1982/802/hain.pdf",,,"Cooperate within/between species,Coordinate activities,""Capture, absorb, or filter organisms""","Cooperate within the same species,Coordinate activities,""Capture, absorb, or filter organisms""",
825,825,,,,BMC Evolutionary Biology,https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-10-214,,,Distribute gases,"Distribute gases,Modify chemical potential",
826,826,,,,BMC Biology,https://bmcbiol.biomedcentral.com/articles/10.1186/1741-7007-8-109,,,"Protect from fungi,Protect from microbes","Protect from fungi,Protect from microbes",https://www.eurekalert.org/pub_releases/2010-08/uoea-aft082610.php
827,827,,,,"British Journal of Ophthamology,Vision Research,Journal of Comparative Physiology A,Journal of Vision,Journal of General Physiology,The grand design: Form and colour in animals","https://bjo.bmj.com/content/84/11/1214
https://www.sciencedirect.com/science/article/abs/pii/0042698986900970
https://link.springer.com/article/10.1007/s003590050335
http://jov.arvojournals.org/article.aspx?articleid=2193495
https://pubmed.ncbi.nlm.nih.gov/13385448/
",,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
828,828,,,,Zoological Science,https://bioone.org/journals/zoological-science/volume-26/issue-9/zsj.26.632/Functional-Changes-with-Feeding-in-the-Gastro-Intestinal-Epithelia-of/10.2108/zsj.26.632.short,,,Optimize shape/materials,"Modify material characteristics,Optimize shape/materials,Regulate cellular processes",
829,829,,,,Wetlands,https://bioone.org/journals/wetlands/volume-22/issue-2/0277-5212(2002)022%5B0430%3AIOSOFO%5D2.0.CO%3B2/INFLUENCE-OF-SEASON-OF-FIRE-ON-FLOWERING-OF-WET-PRAIRIE/10.1672/0277-5212(2002)022[0430:IOSOFO]2.0.CO;2.short,,,Maintain biodiversity,Maintain biodiversity,
830,830,,,,Journal of the Torrey Botanical Society,https://bioone.org/journals/the-journal-of-the-torrey-botanical-society/volume-137/issue-1/09-RA-024.1/Characterization-of-cork-warts-and-aerenchyma-in-leaves-of-Rhizophora/10.3159/09-RA-024.1.short,,,Distribute gases,Distribute gases,
831,831,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Copeia,Introduction to the Horned Lizards of North America",https://bioone.org/journals/copeia/volume-2001/issue-4/0045-8511(2001)001%5b1114%3aBSVIHL%5d2.0.CO%3b2/Blood-Squirting-Variability-in-Horned-Lizards-Phrynosoma/10.1643/0045-8511(2001)001[1114:BSVIHL]2.0.CO;2.short,,,"Expel liquids,Expel solids,Protect from animals","Expel liquids,Expel solids,Protect from animals",
832,832,,,,Biotropica,"https://bioone.org/journals/BIOTROPICA/volume-33/issue-1/0006-3606(2001)033[0188:ATOTFO]2.0.CO;2/A-Test-of-the-Function-of-Drip-Tips1/10.1646/0006-3606(2001)033[0188:ATOTFO]2.0.CO;2.short
https://www.jstor.org/stable/2388018?seq=1
https://www.jstor.org/stable/2388599?seq=1",,,Distribute liquids,Distribute liquids,
833,833,,,,BioScience,https://bioone.org/journals/bioscience/volume-60/issue-7/bio.2010.60.7.8/Ecological-Complexity-and-Pest-Control-in-Organic-Coffee-Production/10.1525/bio.2010.60.7.8.short,,,Control of populations/pests/diseases,"""Biological control of populations, pests, diseases""",https://www.eurekalert.org/pub_releases/2010-08/uom-ooc082610.php
834,834,,,,American Museum Novitates,https://bioone.org/journals/american-museum-novitates/volume-13/issue-3680/701.1/Nests-Petal-Usage-Floral-Preferences-and-Immatures-of-Osmia-Ozbekosmia/10.1206/701.1.short,,,"Physically assemble structure,Protect from loss of liquids","Physically assemble structure,Protect from loss of liquids",https://www.seeker.com/bees-build-gorgeous-underground-flower-petal-nests-1765053083.html
835,835,,,,AMBIO: A Journal of the Human Environment,https://bioone.org/journals/ambio-a-journal-of-the-human-environment/volume-32/issue-6/0044-7447-32.6.389/Reserves-Resilience-and-Dynamic-Landscapes/10.1579/0044-7447-32.6.389.short,,,"Maintain biodiversity,Manage environmental disturbances,Control of populations/pests/diseases","Maintain biodiversity,Manage disturbance in a community,""Biological control of populations, pests, diseases""",
836,836,,,,AMBIO: A Journal of the Human Environment,https://bioone.org/journals/ambio-a-journal-of-the-human-environment/volume-32/issue-6/0044-7447-32.6.389/Reserves-Resilience-and-Dynamic-Landscapes/10.1579/0044-7447-32.6.389.short,,,"Maintain biodiversity,Manage environmental disturbances","Disperse seeds,Maintain biodiversity,Manage disturbance in a community",
837,837,,,,AMBIO: A Journal of the Human Environment,https://bioone.org/journals/ambio-a-journal-of-the-human-environment/volume-32/issue-6/0044-7447-32.6.389/Reserves-Resilience-and-Dynamic-Landscapes/10.1579/0044-7447-32.6.389.short,,,Manage environmental disturbances,Manage disturbance in a community,
838,838,,,,The Journal of Ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2009.01601.x,,,Maintain biodiversity,"Cycle nutrients,Generate soil/renew fertility,Maintain biodiversity",
839,839,,,,Functional Ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2435.2011.01890.x,,,Coordinate activities,"Coordinate activities,Regulate cellular processes",
840,840,,,,"Functional Ecology,New Phytologist,American Journal of Botany,Austral Ecology","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2435.2011.01851.x
https://nph.onlinelibrary.wiley.com/doi/full/10.1111/j.1469-8137.2009.02854.x
https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1442-9993.2009.01973.x
https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.93.6.829",,,"Distribute energy,Change size/shape,""Capture, absorb, or filter energy""","Adapt phenotype,Distribute energy,Modify size/shape/mass/volume,""Capture, absorb, or filter energy""",https://www.eurekalert.org/pub_releases/2011-03/nesc-igt033111.php
841,841,,,,Functional Ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2435.2009.01632.x,,,"Protect from animals,Send chemical signals","Pollinate,Protect from animals,""Send chemical signals (odor, taste, etc.)""",http://news.bbc.co.uk/2/hi/science/nature/8383577.stm
842,842,,,,Functional Ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2435.2008.01523.x,,,Protect from chemicals,Protect from chemicals,
843,843,,,,Limnology and Oceanography,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2011.56.4.1310,,,,Modify buoyancy,
844,844,,,,"Limnology and Oceanography,Oceanography and Marine Biology","https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.1977.22.6.1067
https://core.ac.uk/download/pdf/11755576.pdf",,,Move through/on liquids,"Modify buoyancy,Move in/on liquids",
845,845,,,,The Journal of the Acoustical Society of America,https://asa.scitation.org/doi/10.1121/1.421291,,,,Modify conductivity,
846,846,,,,"Comparative Biomechanics: Life's Physical World,The Biological Bulletin",https://archive.org/stream/biologicalbullet185mari/#page/n19/mode/1up,,,,Manage tension,
847,847,,,,"Physics of Fluids,Philosophical Transactions of the Royal Society A,Bioinspiration & Biomimetics,Journal of Morphology,Journal of Experimental Biology (JEB),Journal of Fish Biology","https://aip.scitation.org/doi/10.1063/1.4942474
https://royalsocietypublishing.org/doi/10.1098/rsta.2010.0201
https://iopscience.iop.org/article/10.1088/1748-3182/3/4/046005
https://onlinelibrary.wiley.com/doi/abs/10.1002/jmor.20083
https://jeb.biologists.org/content/215/5/785
https://onlinelibrary.wiley.com/doi/full/10.1111/jfb.12705",,,Move through/on liquids,Move in/on liquids,https://issuu.com/eggermont/docs/zq_issue_08_final/8?e=15278665/11096208
848,848,,,,"Applied Physics Letters,Journal of Adhesion Science and Technology,Langmuir,Journal of Colloid and Interface Science","https://aip.scitation.org/doi/10.1063/1.3148363
https://www.tandfonline.com/doi/abs/10.1163/156856108X295491
https://pubs.acs.org/doi/10.1021/la061622m
https://www.sciencedirect.com/science/article/abs/pii/S0021979707002317?via%3Dihub",,,Protect from excess liquids,Protect from excess liquids,https://www.israel21c.org/waterproof-dove-provides-inspiration-for-new-stick-free-polymer-video/
849,849,,,,Physics of Fluids,https://aip.scitation.org/doi/10.1063/1.2960720,,,Move through/on liquids,Move in/on liquids,http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=779
850,850,,,,Applied Physics Letters,https://aip.scitation.org/doi/10.1063/1.2838357,,,"Change size/shape,Store liquids,""Capture, absorb, or filter liquids""","Modify size/shape/mass/volume,Store liquids,""Capture, absorb, or filter liquids""",https://omnexus.specialchem.com/polymer-properties/properties/young-modulus
851,851,,,,"Paleoceanography and Paleoclimatology,International Journal of Astrobiology,Nature,Geochemica et Cosmochimica Acta,Matrix Biology","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2006PA001395
https://www.cambridge.org/core/journals/international-journal-of-astrobiology/article/adaptations-to-environmental-extremes-by-multicellular-organisms/788142428590F0D32F24F139CA20B9B4
https://www.nature.com/articles/35286
https://www.sciencedirect.com/science/article/abs/pii/S0016703703008408?via%3Dihub
https://www.sciencedirect.com/science/article/pii/S0945053X98900592",,,Protect from temperature,Protect from temperature,
852,852,,,,"Journal of Geophysical Research,Physical Review Letters","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2002JB002326
https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.048703
https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.048704",,,"Distribute liquids,Optimize shape/materials","Distribute liquids,Optimize shape/materials",
853,853,,,,Applied and Environmental Microbiology,"https://aem.asm.org/content/75/21/6635
",,,Protect from fungi,Protect from fungi,https://www.sciencedaily.com/releases/2009/11/091119212100.htm
854,854,,,,"Applied and Environmental Microbiology,Environmental Microbiology","https://aem.asm.org/content/74/3/682
https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2007.01400.x",,,,Modify oxidation state,
855,855,,,,Applied and Environmental Microbiology,https://aem.asm.org/content/65/4/1477,,,Protect from chemicals,Protect from chemicals,
856,856,,,,Soil Science Society of America Journal,https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj2009.0313,,,"""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter chemical entities""",
857,857,,,,"Proceedings of the Royal Society B,Zoological Journal of the Linnean Society","https://academic.oup.com/zoolinnean/article/130/4/499/2630907
https://royalsocietypublishing.org/doi/10.1098/rspb.2010.0117",,,"Manage stress/strain,Move through gases,Prevent buckling,Prevent deformation,Prevent fatigue,Prevent fracture/rupture","Manage compression,Manage tension,Move in/through gases,Prevent buckling,Prevent deformation,Prevent fatigue,Prevent fracture/rupture",
858,858,,,,Plant and Cell Physiology,https://academic.oup.com/pcp/article/45/3/257/1813250,,,,Maintain homeostasis,https://www.newscientist.com/article/mg18825265-000-zen-and-the-art-of-central-heating-maintenance/
859,859,,,,"Journal of Molluscan Studies,Chemistry: A European Journal","https://academic.oup.com/mollus/article/76/3/279/1045246
https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200600825",,,"Manage stress/strain,Prevent fracture/rupture","Chemically assemble mineral crystals,Manage compression,Prevent fracture/rupture",
